"Trajectory";"datetime";"latitude";"longitude";"speed";"altitude";"distLeft";"distGain";"dspeed";"dalt";"anomaly";"diversion";"trulydiv"
"24936159.xml";"2013-07-14 09:50:57+0200";"48.363900";"11.782500";"180";"1530";"";"";"";"";"";"True";"1"
"24936159.xml";"2013-07-14 09:50:57+0200";"48.363900";"11.782500";"180";"1530";"0.038744";"0.000000";"0.000003";"0.000008";"False";"True";"1"
"24936159.xml";"2013-07-14 09:53:52+0200";"48.406900";"11.563600";"280";"6630";"0.054668";"0.000000";"0.000001";"0.000004";"False";"True";"1"
"24936159.xml";"2013-07-14 09:56:52+0200";"48.677300";"11.386300";"348";"13530";"0.075942";"0.000000";"0.000000";"0.000003";"False";"True";"1"
"24936159.xml";"2013-07-14 09:59:22+0200";"48.908300";"11.243600";"388";"18680";"0.105509";"0.000000";"0.000001";"0.000001";"False";"True";"1"
"24936159.xml";"2013-07-14 10:02:22+0200";"49.216100";"11.051000";"400";"24450";"0.146951";"0.000000";"-0.000000";"0.000002";"False";"True";"1"
"24936159.xml";"2013-07-14 10:05:22+0200";"49.481800";"10.742500";"448";"26830";"0.173965";"0.000000";"-0.000001";"0.000001";"False";"True";"1"
"24936159.xml";"2013-07-14 10:08:22+0200";"49.704700";"10.271600";"444";"30800";"0.209439";"0.000000";"0.000000";"0.000001";"False";"True";"1"
"24936159.xml";"2013-07-14 10:10:22+0200";"49.848800";"9.962200";"420";"33830";"0.255010";"0.000001";"0.000001";"0.000000";"False";"True";"1"
"24936159.xml";"2013-07-14 10:13:03+0200";"50.008200";"9.547000";"432";"35550";"0.301511";"0.000001";"-0.000000";"0.000000";"False";"True";"1"
"24936159.xml";"2013-07-14 10:16:03+0200";"50.071700";"8.981800";"464";"36000";"0.345562";"0.000001";"-0.000000";"-0.000000";"False";"True";"1"
"24936159.xml";"2013-07-14 10:19:03+0200";"50.160900";"8.408200";"448";"36000";"0.389030";"0.000001";"0.000000";"0.000000";"False";"True";"1"
"24936159.xml";"2013-07-14 10:22:03+0200";"50.294600";"7.871600";"444";"35950";"0.432175";"0.000001";"-0.000001";"-0.000000";"True";"True";"1"
"24936159.xml";"2013-07-14 10:25:03+0200";"50.424200";"7.338900";"452";"36030";"0.474932";"0.000000";"0.000000";"0.000000";"False";"True";"1"
"24936159.xml";"2013-07-14 10:28:03+0200";"50.560600";"6.808600";"432";"36000";"0.509908";"0.000000";"0.000002";"-0.000000";"True";"True";"1"
"24936159.xml";"2013-07-14 10:31:03+0200";"50.694700";"6.280000";"432";"36030";"0.479083";"-0.000000";"-0.000001";"0.000000";"True";"True";"1"
"24936159.xml";"2013-07-14 10:34:03+0200";"50.557400";"5.812300";"492";"36000";"0.434961";"-0.000001";"0.000000";"0.000000";"True";"True";"1"
"24936159.xml";"2013-07-14 10:37:03+0200";"50.303200";"6.171400";"436";"36000";"0.391691";"-0.000001";"-0.000000";"0.000000";"True";"True";"1"
"24936159.xml";"2013-07-14 10:40:03+0200";"50.177800";"6.714700";"444";"36000";"0.348356";"-0.000001";"0.000000";"0.000000";"True";"True";"1"
"24936159.xml";"2013-07-14 10:43:03+0200";"50.036400";"7.241900";"440";"36000";"0.304488";"-0.000001";"-0.000000";"0.000000";"Diversion predicted!";"True";"1"
"24936159.xml";"2013-07-14 10:46:03+0200";"49.892300";"7.766500";"448";"36000";"0.261669";"-0.000000";"0.000000";"-0.000000";"True";"True";"1"
"24936159.xml";"2013-07-14 10:49:03+0200";"49.744100";"8.294100";"444";"36030";"0.216919";"-0.000001";"-0.000000";"-0.000001";"True";"True";"1"
"24936159.xml";"2013-07-14 10:52:03+0200";"49.597200";"8.805700";"444";"35950";"0.176888";"-0.000000";"-0.000001";"-0.000002";"True";"True";"1"
"24936159.xml";"2013-07-14 10:55:03+0200";"49.441300";"9.336800";"436";"31750";"0.140871";"-0.000000";"0.000000";"-0.000001";"True";"True";"1"
"24936159.xml";"2013-07-14 10:58:03+0200";"49.300000";"9.808800";"408";"27100";"0.105677";"-0.000000";"-0.000000";"-0.000002";"True";"True";"1"
"24936159.xml";"2013-07-14 11:01:03+0200";"49.092400";"10.213900";"408";"25000";"0.074758";"-0.000000";"-0.000001";"-0.000003";"True";"True";"1"
"24936159.xml";"2013-07-14 11:04:03+0200";"48.866600";"10.601600";"392";"21480";"0.047186";"-0.000000";"-0.000001";"-0.000003";"True";"True";"1"
"24936159.xml";"2013-07-14 11:07:03+0200";"48.666900";"10.939200";"364";"15950";"0.016153";"-0.000000";"-0.000001";"-0.000001";"True";"True";"1"
"24936159.xml";"2013-07-14 11:09:43+0200";"48.525200";"11.246600";"340";"12100";"-0.012965";"-0.000000";"-0.000001";"-0.000008";"True";"True";"1"
"24936159.xml";"2013-07-14 11:12:25+0200";"48.435600";"11.607300";"324";"11000";"-0.013048";"-0.000000";"-0.000006";"-0.000007";"True";"True";"1"
"24936159.xml";"2013-07-14 11:15:15+0200";"48.463400";"11.972100";"296";"5200";"-0.002274";"0.000000";"-0.000001";"-0.000010";"True";"True";"1"
# All timings were replaced in this way: +02:00 -> +0200
