action-code;filename;flightId;departureCode;arrivalCode;firstEventDateTime;lastEventDateTime;predictionDateTime;latitude;longitude;speed;altitude;distLeft;distGain;dspeed;dalt;anomaly;distance;severity;diversionDetected;firstAlert
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 11:08:43+02:00;48.726000;2.394100;152;450;;;;;;0.000000;0.000000;;
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 11:12:50+02:00;48.618100;2.567200;304;9730;;;;;;0.000000;0.000000;;
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 11:16:50+02:00;48.213600;2.529000;408;18250;0.00714689442362;-1.36273979306e-07;3.39060853599e-06;7.0683197907e-06;True;-0.020898;-0.020898;False;
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 11:20:50+02:00;47.731700;2.679900;456;25500;0.0133634459168;7.21512475992e-08;1.28959042608e-06;3.84666401379e-06;False;0.078592;0.057694;False;
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 11:24:50+02:00;47.224800;2.903600;476;30900;0.0270445866789;1.58787613302e-07;4.98125057284e-07;2.22248562793e-06;False;0.138453;0.196147;False;
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 11:28:50+02:00;46.730800;3.117400;456;36530;0.0404403637847;1.55475593151e-07;-4.98125057284e-07;1.93811499005e-06;False;0.251919;0.448067;False;
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 11:32:52+02:00;46.267600;3.429000;456;37000;0.0652051576504;2.8743464177e-07;0.0;1.483773733e-07;False;0.234836;0.682902;False;
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 11:36:52+02:00;45.843400;3.804300;456;37000;0.0980268655581;3.80939042569e-07;0.0;0.0;False;0.248718;0.931620;False;
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 11:40:52+02:00;45.425400;4.189900;464;37000;0.132717825975;4.02634173832e-07;2.01848936256e-07;0.0;False;0.312414;1.244034;False;
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 11:44:52+02:00;44.985000;4.611600;460;37000;0.17166122615;4.51989324222e-07;-1.00487565669e-07;0.0;False;0.322540;1.566574;False;
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 11:48:59+02:00;44.550400;5.022700;464;34480;0.210283990023;4.48304340799e-07;1.00495730364e-07;-8.18418782306e-07;False;0.177507;1.744081;False;
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 11:52:59+02:00;44.151600;5.478900;472;30650;0.255042345552;5.19479520994e-07;1.98398527089e-07;-1.36502938698e-06;True;-0.069284;1.674797;False;
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 11:56:59+02:00;43.773700;5.943500;436;19600;0.301695551212;5.4147174628e-07;-9.20324445044e-07;-5.10446837308e-06;True;-1.497050;0.177747;False;
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 12:01:00+02:00;43.601500;6.256700;360;12780;0.334446679113;3.80124280706e-07;-2.21630675692e-06;-4.88918956529e-06;True;-1.906451;-1.728704;True;Alert!
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 12:05:05+02:00;43.434100;6.856700;252;6630;0.399378180689;7.53659121069e-07;-4.0965837905e-06;-7.35527795461e-06;True;-2.114598;-3.843302;True;
div-check;24939815.xml;3748640;ORY;FCO;2013-07-14 11:08:43+02:00;2013-07-14 12:09:05+02:00;2013-07-14 12:09:05+02:00;43.494500;7.140700;176;2450;0.431559243369;3.73503512999e-07;-4.12186846467e-06;-1.06859893897e-05;True;-2.130949;-5.974251;True;
