action-code;filename;flightId;departureCode;arrivalCode;firstEventDateTime;lastEventDateTime;predictionDateTime;latitude;longitude;speed;altitude;distLeft;distGain;dspeed;dalt;anomaly;distance;severity;diversionDetected;firstAlert
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 16:26:19+02:00;36.863900;30.809300;180;1700;;;;;;0.000000;0.000000;;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 16:30:19+02:00;37.035500;30.919300;292;9680;;;;;;0.000000;0.000000;;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 16:34:49+02:00;37.478900;30.948800;404;18000;-0.00745974226907;3.40345447794e-08;3.7366664398e-06;6.97963624015e-06;True;-0.003055;-0.003055;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 16:38:49+02:00;37.957700;30.981800;448;24200;-0.00430230150554;3.66462484161e-08;1.19877419889e-06;3.4103860557e-06;True;-0.024863;-0.027918;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 16:43:44+02:00;38.596700;30.963800;448;29600;0.0063183474011;1.23345321487e-07;0.0;2.33138022674e-06;False;0.084213;0.056295;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 16:47:49+02:00;39.072100;30.733400;452;32900;0.0359233741272;3.43625172377e-07;1.0317322139e-07;1.22569787012e-06;False;0.137884;0.194179;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 16:51:49+02:00;39.543500;30.502200;468;35250;0.0653106091646;3.41077472578e-07;4.03697872512e-07;8.00435436878e-07;False;0.214227;0.408406;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 16:55:49+02:00;40.042400;30.252800;452;36000;0.0966058319089;3.63222176698e-07;-4.03697872512e-07;2.44343449152e-07;False;0.269627;0.678032;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 16:59:49+02:00;40.509000;30.015800;452;36000;0.125978455477;3.40907887285e-07;0.0;0.0;False;0.355459;1.033491;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 17:03:49+02:00;40.996100;29.764800;468;36000;0.156707921456;3.56655826119e-07;4.03697872512e-07;0.0;False;0.385523;1.419014;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 17:07:49+02:00;41.478400;29.512100;472;36000;0.187242469754;3.54393550352e-07;9.87771390189e-08;0.0;False;0.427236;1.846250;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 17:12:03+02:00;41.985300;29.249700;464;36000;0.218702113896;3.65189842147e-07;-1.98430769786e-07;0.0;False;0.406222;2.252472;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 17:16:03+02:00;42.467400;29.009100;460;36000;0.247460074199;3.33773912522e-07;-1.00487565669e-07;0.0;False;0.425534;2.678007;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 17:20:03+02:00;42.951400;28.764000;464;36000;0.276366204006;3.3549361429e-07;1.00487565669e-07;0.0;False;0.414727;3.092734;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 17:24:03+02:00;43.422900;28.521200;464;36000;0.304603575635;3.27731796995e-07;0.0;0.0;False;0.381135;3.473868;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 17:28:03+02:00;43.914200;28.264200;452;36000;0.334072585509;3.42026577003e-07;-3.04095558988e-07;0.0;False;0.299040;3.772909;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 17:32:03+02:00;44.389800;28.010600;452;36000;0.36271508868;3.32433880808e-07;0.0;0.0;False;0.303860;4.076769;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 17:36:04+02:00;44.852100;27.759900;452;36000;0.390618654421;3.23861299931e-07;0.0;0.0;False;0.273357;4.350125;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 17:40:04+02:00;45.320700;27.501300;448;36000;0.418974704692;3.29109218562e-07;-1.03167234086e-07;0.0;False;0.228067;4.578192;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 17:44:04+02:00;45.795700;27.234600;452;36000;0.447773401138;3.3424670898e-07;1.03167234086e-07;0.0;False;0.221088;4.799280;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 17:48:04+02:00;46.254900;26.971500;452;36000;0.475732366507;3.24500526571e-07;0.0;0.0;False;0.196907;4.996187;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 17:52:04+02:00;46.721300;26.700400;452;36000;0.504105674035;3.29309511697e-07;0.0;0.0;False;0.182879;5.179065;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 17:56:04+02:00;47.182700;26.426500;436;36000;0.53230028704;3.27235526991e-07;-4.18245543594e-07;0.0;False;0.111123;5.290188;False;
div-check;24871421.xml;4968782;AYT;SFT;2013-07-13 16:26:19+02:00;2013-07-13 20:28:52+02:00;2013-07-13 18:00:04+02:00;47.643700;26.147200;444;36000;0.560574614917;3.28160722798e-07;2.11023887904e-07;0.0;False;0.188905;5.479093;False;
